league,team,team_short,program,overall_GK/g,overall_saves/xGA,avg_playerprice_starter,txCS_GW1,txCS_GW_1-3,txCS_GW_1-5,txCS_GW_all,txG_GW1,txG_GW_1-3,txG_GW_1-5,txG_GW_all,txP_rest_GW_1-3,txP_rest_GW_1-5,txP_rest_GW_all
2. La Liga,Villarreal,VIL,"GW1[a]ALM, GW2[h]BET, GW3[a]OSA, GW4[h]RSO, GW5[a]RMA, ",2.114754098360656,2.930641631673052,4048363.6363636362,0.3244018027571991,0.9907532782168786,1.4205710830148714,4.212145649407569,1.4460671480868557,3.931745087692439,6.111745087692438,18.631745087692437,53498.95952805887,62673.45952805887,223855.45952805888
2. La Liga,Celta de Vigo,CDV,"GW1[a]OSA, GW2[h]RVA, GW3[a]ESP, GW4[h]ALM, GW5[a]SEV, ",2.081967213114754,2.820794822751523,3629727.272727273,0.3790830381033987,1.133400019318925,1.8030595453184113,4.789642486147727,0.9350000000000004,3.4468981772462226,6.5168981772462224,18.74689817724622,51648.62039075533,95640.12039075533,257524.62039075533
2. La Liga,Athletic Bilbao,BIL,"GW1[a]RVA, GW2[h]FCB, GW3[a]VLL, GW4[h]GET, GW5[a]ESP, ",2.0,3.725921172049716,4843545.454545454,0.3925858655315182,1.0430416843287595,1.8785736419723813,5.128804038573646,0.9900000000000004,3.3250000000000006,6.115,18.784999999999997,45006.845707894536,91854.84570789454,282275.34570789454
2. La Liga,Mallorca,MCA,"GW1[h]ELC, GW2[h]RSO, GW3[a]BET, GW4[h]OSA, GW5[a]VLL, ",3.0327868852459017,2.343225388146528,3715454.5454545454,0.5735858786041124,1.1856995575980522,1.9292263940484773,4.644996212474488,1.3111856444188488,2.976185644418849,5.176185644418849,14.046185644418852,42381.70715559238,74573.70715559239,157226.2071555924
2. La Liga,Getafe,GET,"GW1[h]GIR, GW2[a]CCF, GW3[h]SEV, GW4[a]BIL, GW5[a]RSO, ",2.918032786885246,2.146318584465436,3434181.8181818184,0.4005166260908187,1.140416472635078,1.6242313004245934,4.3310269781613195,0.9300000000000004,2.8750000000000004,4.135000000000001,12.945000000000002,41249.46671467713,39627.46671467713,120345.46671467714
2. La Liga,Sevilla FC,SEV,"GW1[a]ATM, GW2[h]ALM, GW3[a]GET, GW4[a]CCF, GW5[h]CDV, ",2.639344262295082,2.393785811657812,3627909.090909091,0.23549463476795654,1.0285385059207475,1.6462459508700569,4.150195191539287,0.6750000000000002,3.2799999999999985,5.809999999999999,17.93,41077.181435510545,73342.68143551055,211367.68143551055
2. La Liga,Rayo Vallecano,RVA,"GW1[h]BIL, GW2[a]CDV, GW3[h]GIR, GW4[a]VAL, GW5[h]ATM, ",2.5737704918032787,2.5907181164443003,3928363.6363636362,0.37157669102204566,1.0013059697599307,1.5780590268606476,4.3886361569737655,0.9350000000000004,3.210000000000001,5.400000000000001,16.16,40169.87122292497,63193.87122292497,187322.87122292496
2. La Liga,Valladolid,VLL,"GW1[h]ESP, GW2[a]ELC, GW3[h]BIL, GW4[a]RMA, GW5[h]MCA, ",2.217391304347826,2.945653193645013,3050090.909090909,0.3965314190749927,0.969495992606121,1.3797427313114896,3.2110081797448595,1.1426183255165732,3.2711936983448497,4.95119369834485,13.581193698344851,39363.23840708165,35615.73840708165,61072.73840708165
2. La Liga,Osasuna,OSA,"GW1[h]CDV, GW2[a]VAL, GW3[h]VIL, GW4[a]MCA, GW5[h]ELC, ",2.3278688524590163,2.2886037058990683,3786636.3636363638,0.3925858655315182,1.022648703756726,1.8260424139007996,4.600913313834233,0.9700000000000004,3.0600000000000005,5.680000000000001,14.98,38412.159995172,80322.159995172,178696.159995172
2. La Liga,Betis,BET,"GW1[h]RMA, GW2[a]VIL, GW3[h]MCA, GW4[a]ATM, GW5[h]CCF, ",2.1475409836065573,2.9043158555827278,3706818.1818181816,0.2029085285025445,0.8706689287035374,1.5159274669476681,4.143792890378218,0.8850000000000003,3.3000000000000007,5.960000000000001,17.44,32910.65477570198,66276.65477570199,195235.154775702
