team,player,pos,value [m],xP [k],xV [k],xP_gebyr [k],program,round,game
MAC,C. Palmer,M,2.5,98.4,39.4,73.4,"GW1[h]RBL, ",2,CLK
MAC,M. Perrone,M,2.0,0.0,0.0,-20.0,"GW1[h]RBL, ",2,CLK
MAC,S. Charles,M,2.0,0.0,0.0,-20.0,"GW1[h]RBL, ",2,CLK
MAC,A. Robertson,M,2.0,0.0,0.0,-20.0,"GW1[h]RBL, ",2,CLK
MAC,E. Håland,A,10.0,0.0,0.0,-100.1,"GW1[h]RBL, ",2,CLK
MAC,R. Mahrez,A,7.2,89.5,12.5,17.8,"GW1[h]RBL, ",2,CLK
MAC,J. Alvarez,A,5.0,116.9,23.4,66.9,"GW1[h]RBL, ",2,CLK
NAP,A. Meret,G,4.6,83.5,18.0,37.1,"GW1[h]FFM, ",2,CLK
NAP,P. Gollini,G,4.0,-5.0,-1.3,-45.0,"GW1[h]FFM, ",2,CLK
NAP,H. Idasiak,G,3.5,-5.0,-1.4,-40.0,"GW1[h]FFM, ",2,CLK
NAP,G. Di Lorenzo,F,4.8,66.7,14.0,19.0,"GW1[h]FFM, ",2,CLK
NAP,A. Rrahmani,F,3.6,0.0,0.0,-36.0,"GW1[h]FFM, ",2,CLK
NAP,M. Kim,F,3.6,60.1,16.8,24.2,"GW1[h]FFM, ",2,CLK
NAP,M. Rui,F,3.5,0.0,0.0,-35.0,"GW1[h]FFM, ",2,CLK
NAP,M. Olivera,F,3.1,67.6,21.8,36.6,"GW1[h]FFM, ",2,CLK
NAP,J. Jesus,F,2.5,0.0,0.0,-25.0,"GW1[h]FFM, ",2,CLK
NAP,B. Bereszynski,F,2.5,0.0,0.0,-25.0,"GW1[h]FFM, ",2,CLK
NAP,L. Østigard,F,2.5,56.7,22.7,31.8,"GW1[h]FFM, ",2,CLK
NAP,K. Kvaratskhelia,M,5.1,110.5,21.7,59.4,"GW1[h]FFM, ",2,CLK
NAP,P. Zielinski,M,4.6,0.0,0.0,-45.6,"GW1[h]FFM, ",2,CLK
NAP,E. Elmas,M,4.0,0.0,0.0,-40.1,"GW1[h]FFM, ",2,CLK
NAP,S. Lobotka,M,3.6,35.3,9.9,-0.2,"GW1[h]FFM, ",2,CLK
NAP,A. Zambo Anguissa,M,3.1,40.0,13.1,9.5,"GW1[h]FFM, ",2,CLK
NAP,T. Ndombele,M,3.0,42.9,14.1,12.5,"GW1[h]FFM, ",2,CLK
