team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
BEN,A. Bah,F,3.1,24.7,8.2,4.9,4.1,45.6,76.6,0.08,0.2,76.6,24.7,45.6,0.08,0.2,45.6,76.6,0.08,0.2,76.6,0.08,0.2,45.6,1.0,1.0,43.28,0.04,0.09,CLK
BEN,N. Otamendi,F,3.1,20.3,6.8,4.1,3.4,31.8,62.6,0.04,0.06,62.6,20.3,31.8,0.04,0.06,31.8,62.6,0.04,0.06,62.6,0.04,0.06,31.8,1.0,1.0,7.99,0.02,0.01,CLK
BEN,G. Moraes,F,3.0,-1.7,-0.6,-0.3,-0.3,-35.0,-5.0,0.0,0.0,-5.0,-1.7,-35.0,0.0,0.0,-35.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.04,0.04,CLK
BEN,L. Verissimo,F,3.0,-1.7,-0.6,-0.3,-0.3,-35.0,-5.0,0.0,0.0,-5.0,-1.7,-35.0,0.0,0.0,-35.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.03,0.02,CLK
BEN,Morato,F,2.5,-2.0,-0.7,-0.4,-0.3,-30.0,-5.0,0.0,0.0,-5.0,-2.0,-30.0,0.0,0.0,-30.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.03,0.03,CLK
BEN,M. Ristic,F,2.0,-2.5,-0.8,-0.5,-0.4,-25.0,-5.0,0.0,0.0,-5.0,-2.5,-25.0,0.0,0.0,-25.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-25.0,0.0,0.0,0.45,0.05,0.02,CLK
BEN,R. Silva,M,5.6,18.0,6.0,3.6,3.0,44.5,100.0,0.31,0.49,100.0,18.0,44.5,0.31,0.49,44.5,100.0,0.31,0.49,100.0,0.31,0.49,44.5,1.0,1.0,2.0,0.16,0.14,CLK
BEN,J. Mario,M,4.7,21.1,7.0,4.2,3.5,52.7,100.0,0.29,0.56,100.0,21.1,52.7,0.29,0.56,52.7,100.0,0.29,0.56,100.0,0.29,0.56,52.7,1.0,1.0,55.74,0.15,0.2,CLK
BEN,D. Neres,M,4.2,-1.2,-0.4,-0.2,-0.2,-46.9,-5.0,0.0,0.0,-5.0,-1.2,-46.9,0.0,0.0,-46.9,-5.0,0.0,0.0,-5.0,0.0,0.0,-46.9,0.0,0.0,5.55,0.2,0.19,CLK
BEN,F. Luis,M,3.1,13.7,4.6,2.7,2.3,11.3,41.9,0.06,0.13,41.9,13.7,11.3,0.06,0.13,11.3,41.9,0.06,0.13,41.9,0.06,0.13,11.3,1.0,1.0,1.03,0.03,0.05,CLK
