player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
P. Terracciano,FIO,4.2,4.3,3.0,4.8,,,,,,,-0.9,1.0,-0.7,2.8,5.0,4.7,-1.8,G,SA
F. Miretti,JUV,4.0,4.6,0.0,2.8,,,,,,,-0.2,-1.0,-0.2,6.1,5.1,2.2,-9.9,M,SA
I. Provedel,LAZ,4.0,4.3,6.0,5.0,,,,,,,1.1,2.0,1.6,5.2,3.4,4.9,-4.5,G,SA
R. Pereyra,UDI,4.0,4.2,9.0,4.5,,,,,,,2.0,8.0,3.2,5.4,3.5,4.3,-3.6,M,SA
M. Kumbulla,ROM,4.0,4.5,9.0,5.1,,,,,,,4.2,9.0,5.1,5.6,3.0,6.0,-9.0,F,SA
F. Chiesa,JUV,3.9,3.9,0.0,2.6,,,,,,,-5.1,-5.0,-4.7,5.9,3.0,3.4,0.9,M,SA
J. Doig,VER,3.8,4.0,5.0,3.8,,,,,,,2.0,3.0,1.8,5.2,4.0,2.7,-2.7,F,SA
P. Schuurs,TOR,3.8,3.8,2.0,2.9,,,,,,,-5.3,-7.0,-6.6,2.6,3.8,5.1,0.0,F,SA
M. Zaccagni,LAZ,3.8,3.9,4.0,3.4,,,,,,,0.5,1.0,0.7,3.9,3.6,4.5,-2.7,M,SA
F. Baschirotto,LEC,3.6,4.2,3.0,4.5,,,,,,,1.5,0.0,2.0,4.1,4.6,3.6,-9.9,F,SA
K. Asllani,INT,3.6,3.6,2.0,2.7,,,,,,,-1.3,-4.0,-1.7,4.3,3.1,3.8,-0.9,M,SA
L. Pellegrini,ROM,3.5,3.6,3.0,2.2,,,,,,,-0.6,1.0,-0.7,3.5,4.4,2.2,-0.9,M,SA
M. Adopo,TOR,3.5,3.6,1.0,3.7,,,,,,,-7.5,-13.0,-10.6,2.2,3.9,4.7,-2.7,M,SA
M. Pessina,MON,3.4,3.3,2.0,2.9,,,,,,,2.5,2.0,2.4,3.5,3.2,3.4,1.8,M,SA
A. Di Maria,JUV,3.4,3.0,1.0,2.7,,,,,,,1.1,1.0,1.3,3.9,2.8,2.5,6.3,M,SA
A. Saelemaekers,ACM,3.3,3.3,0.0,1.2,,,,,,,-0.3,0.0,-0.3,2.6,3.9,3.1,0.0,M,SA
N. Radonjic,TOR,3.3,3.6,0.0,1.5,,,,,,,-0.2,0.0,-0.3,3.9,4.6,1.6,-5.4,M,SA
Beto,UDI,3.3,3.4,3.0,2.7,,,,,,,1.1,3.0,1.4,2.8,3.0,4.7,-1.8,A,SA
J. Musso,ATA,3.3,3.2,1.0,2.6,,,,,,,-0.6,0.0,-0.8,3.5,3.2,2.9,0.9,G,SA
I. Hien,VER,3.2,3.3,1.0,3.3,,,,,,,1.5,1.0,1.5,3.5,2.6,4.5,-1.8,F,SA
K. Ehizibue,UDI,3.2,3.7,3.0,3.7,,,,,,,2.9,3.0,3.0,2.4,3.6,5.1,-8.1,F,SA
G. Di Lorenzo,NAP,3.0,2.7,4.0,3.1,,,,,,,0.1,0.0,0.0,1.7,3.6,2.0,5.4,F,SA
Z. Celik,ROM,2.9,3.0,1.0,2.5,,,,,,,-0.8,0.0,-0.9,3.5,3.6,1.3,-0.9,F,SA
S. Milinkovic-Savic,LAZ,2.8,2.9,1.0,1.4,,,,,,,-0.1,0.0,0.0,2.6,2.9,3.4,-2.7,M,SA
M. Nzola,SPE,2.7,1.6,2.0,1.1,,,,,,,0.2,1.0,0.5,3.7,1.1,0.2,19.8,A,SA
P. Ciurria,MON,2.7,2.9,4.0,2.7,,,,,,,1.0,2.0,1.3,2.4,3.0,3.4,-3.6,A,SA
T. Koopmeiners,ATA,2.7,2.5,3.0,2.3,,,,,,,-0.4,1.0,0.1,2.6,1.9,3.6,2.7,M,SA
A. Sandro,JUV,2.6,2.6,3.0,1.9,,,,,,,0.1,0.0,0.7,3.3,2.2,2.5,0.9,F,SA
S. Tonali,ACM,2.6,2.5,2.0,1.7,,,,,,,-0.1,1.0,0.0,4.6,2.0,1.3,1.8,M,SA
G. Strefezza,LEC,2.6,2.7,1.0,2.1,,,,,,,0.9,-1.0,0.6,2.2,2.5,3.8,-2.7,M,SA
S. El Shaarawy,ROM,2.4,2.7,4.0,2.7,,,,,,,0.4,-1.0,0.1,3.0,2.5,2.7,-4.5,A,SA
A. Bastoni,INT,2.3,2.3,3.0,1.4,,,,,,,0.1,1.0,-0.1,2.2,2.6,2.0,0.0,F,SA
S. Sensi,MON,2.3,2.3,2.0,2.2,,,,,,,2.3,2.0,2.2,2.6,2.4,2.0,0.0,M,SA
M. Vojvoda,TOR,2.3,2.3,1.0,1.5,,,,,,,-1.2,-3.0,-1.4,1.5,2.0,3.6,0.0,F,SA
G. Vicario,EMP,2.2,2.2,1.0,2.3,,,,,,,-0.7,0.0,-0.8,2.6,2.9,0.7,0.0,G,SA
B. Diaz,ACM,2.2,2.2,0.0,0.5,,,,,,,-0.1,0.0,0.2,1.3,2.6,2.5,-0.9,M,SA
H. Calhanoglu,INT,2.1,2.0,0.0,0.7,,,,,,,0.1,-1.0,-0.1,3.0,1.6,1.8,0.9,M,SA
H. Mkhitaryan,INT,2.0,2.0,0.0,1.6,,,,,,,0.2,0.0,0.1,2.0,1.9,2.5,0.0,M,SA
A. Petagna,MON,2.0,1.9,0.0,1.7,,,,,,,1.6,0.0,1.4,2.2,1.2,2.9,1.8,A,SA
Danilo,JUV,1.9,1.8,1.0,1.7,,,,,,,0.0,1.0,0.5,3.3,1.1,1.3,1.8,F,SA
S. Singo,TOR,1.8,1.8,0.0,1.3,,,,,,,-1.6,-4.0,-1.6,0.9,2.5,1.3,0.9,F,SA
L. Skorupski,BOL,1.7,1.5,4.0,1.6,,,,,,,-2.9,-4.0,-3.4,0.9,1.6,2.0,2.7,G,SA
I. Julio,FIO,1.6,1.7,1.0,1.6,,,,,,,-0.3,0.0,-0.4,1.1,1.2,3.1,-0.9,F,SA
A. Consigli,SAS,1.6,1.3,1.0,1.2,,,,,,,0.9,1.0,1.1,1.5,1.2,1.1,5.4,G,SA
Ederson,ATA,1.6,1.7,0.0,1.3,,,,,,,-1.0,-2.0,-1.1,2.2,1.4,1.8,-1.8,M,SA
M. Kean,JUV,1.6,1.6,1.0,0.7,,,,,,,0.4,1.0,0.5,2.0,1.8,1.1,-0.9,A,SA
R. Krunic,ACM,1.5,1.7,1.0,1.4,,,,,,,-0.2,0.0,-0.2,2.2,1.8,1.1,-2.7,M,SA
D. Berardi,SAS,1.5,1.6,3.0,1.6,,,,,,,0.6,2.0,0.9,1.7,1.5,1.8,-1.8,A,SA
D. Udogie,UDI,1.5,1.6,1.0,1.1,,,,,,,0.6,1.0,0.8,1.5,1.6,1.8,-1.8,F,SA
D. Rugani,JUV,1.5,1.6,2.0,1.3,,,,,,,-1.2,-6.0,-2.1,1.3,1.6,1.8,-0.9,F,SA
K. Djidji,TOR,1.5,1.5,0.0,0.6,,,,,,,-1.1,0.0,-1.3,2.0,1.5,0.9,0.9,F,SA
G. Caprari,MON,1.5,1.4,0.0,0.7,,,,,,,0.5,0.0,0.2,1.1,1.9,0.9,0.9,A,SA
D. Frattesi,SAS,1.4,1.1,1.0,0.5,,,,,,,0.2,1.0,0.3,1.7,0.8,0.9,6.3,M,SA
L. Colombo,LEC,1.4,1.5,0.0,0.8,,,,,,,0.2,0.0,0.0,0.4,1.8,2.2,-1.8,A,SA
L. Banda,LEC,1.4,1.5,0.0,1.9,,,,,,,1.4,0.0,1.9,1.1,0.8,3.1,-0.9,M,SA
T. Ndombele,NAP,1.4,1.5,0.0,1.2,,,,,,,0.0,-1.0,0.1,2.6,1.1,0.9,-0.9,M,SA
J. Mæhle,ATA,1.4,1.3,1.0,0.9,,,,,,,-0.1,0.0,-0.1,1.5,0.9,2.0,0.9,F,SA
P. Kalulu,ACM,1.4,1.1,0.0,0.6,,,,,,,-0.1,0.0,0.1,1.5,1.1,0.7,4.5,F,SA
N. Bajrami,SAS,1.4,1.1,1.0,1.2,,,,,,,0.8,1.0,1.1,1.3,0.6,1.6,5.4,M,SA
W. Falcone,LEC,1.4,1.5,0.0,1.6,,,,,,,0.3,-1.0,0.3,2.0,1.5,0.9,-1.8,G,SA
J. Sosa,BOL,1.3,1.3,1.0,1.3,,,,,,,-2.0,-6.0,-3.0,0.4,1.1,2.5,0.9,F,SA
E. Gyasi,SPE,1.3,1.3,1.0,1.0,,,,,,,-0.1,0.0,0.0,0.9,1.5,1.3,0.9,M,SA
D. Mota,MON,1.3,1.5,1.0,1.5,,,,,,,1.3,1.0,1.3,1.5,1.8,0.9,-2.7,A,SA
R. Marin,EMP,1.3,1.4,0.0,1.3,,,,,,,-1.9,-3.0,-2.1,1.1,2.1,0.4,-1.8,M,SA
F. Depaoli,VER,1.3,1.4,0.0,1.4,,,,,,,0.5,-1.0,0.7,2.4,0.8,1.6,-1.8,F,SA
R. Becao,UDI,1.3,1.3,1.0,1.0,,,,,,,0.4,1.0,0.5,2.0,0.9,1.6,-0.9,F,SA
H. Lozano,NAP,1.2,1.2,1.0,1.2,,,,,,,0.4,1.0,0.7,1.3,1.1,1.3,0.0,A,SA
C. Augusto,MON,1.2,1.1,0.0,0.8,,,,,,,-0.7,-1.0,-0.6,1.5,0.8,1.1,2.7,M,SA
M. Hjulmand,LEC,1.2,1.4,0.0,1.6,,,,,,,0.6,0.0,0.6,2.0,1.6,0.4,-3.6,M,SA
A. Tuia,LEC,1.2,1.3,2.0,1.7,,,,,,,0.0,0.0,0.0,1.3,0.8,2.5,-2.7,F,SA
L. Jovic,FIO,1.2,1.2,0.0,0.4,,,,,,,-0.1,0.0,0.0,0.9,1.6,0.7,0.0,A,SA
A. Masina,UDI,1.2,1.2,2.0,1.7,,,,,,,0.0,0.0,0.0,0.4,0.6,2.9,0.0,F,SA
T. Ebuehi,EMP,1.2,1.1,0.0,1.2,,,,,,,-0.6,0.0,-0.9,0.7,1.2,1.3,0.9,F,SA
R. Gagliardini,INT,1.1,1.2,0.0,1.2,,,,,,,-0.1,-1.0,-0.3,1.5,1.0,1.1,-0.9,M,SA
O. Duda,VER,1.1,1.1,3.0,1.5,,,,,,,0.4,2.0,0.4,0.0,1.1,2.2,0.0,M,SA
S. Kjær,ACM,1.1,1.2,1.0,0.9,,,,,,,-1.1,0.0,-1.0,1.1,1.5,0.9,-2.7,F,SA
M. Maignan,ACM,1.1,0.2,0.0,0.2,,,,,,,0.1,0.0,0.1,0.4,0.1,0.0,15.3,G,SA
B. Djimsiti,ATA,1.1,1.1,0.0,1.1,,,,,,,-0.9,0.0,-0.7,1.7,0.9,0.7,0.0,F,SA
N. Moro,BOL,1.0,1.0,1.0,0.8,,,,,,,-1.0,-2.0,-1.1,0.9,1.1,0.9,0.9,M,SA
F. Thauvin,UDI,1.0,1.0,0.0,1.0,,,,,,,0.8,0.0,0.9,0.7,0.8,1.8,0.9,M,SA
C. Smalling,ROM,1.0,1.2,0.0,0.4,,,,,,,-2.0,-3.0,-3.0,2.2,0.8,0.9,-2.7,F,SA
J. Machin,MON,1.0,1.1,0.0,0.8,,,,,,,0.3,0.0,-0.1,1.3,1.4,0.4,-1.8,M,SA
Dodo,FIO,1.0,1.1,0.0,0.9,,,,,,,-0.4,0.0,-0.5,1.1,1.1,0.9,-0.9,F,SA
F. Gatti,JUV,1.0,1.1,0.0,0.4,,,,,,,-0.1,0.0,0.0,1.3,1.0,0.9,-0.9,F,SA
G. Defrel,SAS,1.0,0.9,1.0,1.4,,,,,,,0.7,1.0,1.3,0.7,1.0,1.1,0.9,A,SA
M. Rui,NAP,1.0,1.2,0.0,1.4,,,,,,,-0.2,0.0,-0.1,2.6,1.1,0.0,-4.5,F,SA
Rogerio,SAS,1.0,0.6,1.0,0.7,,,,,,,0.5,1.0,0.7,0.9,0.6,0.2,6.3,F,SA
I. Success,UDI,0.9,0.9,0.0,0.4,,,,,,,0.2,0.0,0.1,0.9,1.1,0.7,0.0,A,SA
F. Kostic,JUV,0.9,0.9,0.0,0.4,,,,,,,0.0,0.0,0.1,1.5,0.4,1.1,0.9,M,SA
L. Samardzic,UDI,0.9,1.0,0.0,0.9,,,,,,,0.2,0.0,0.3,1.7,0.9,0.4,-1.8,M,SA
B. Tahirovic,ROM,0.9,0.9,0.0,1.0,,,,,,,-0.2,0.0,-0.3,1.1,0.6,1.3,-0.9,M,SA
O. Aina,TOR,0.9,0.9,0.0,1.0,,,,,,,-7.4,-12.0,-10.0,0.7,0.5,2.0,-0.9,F,SA
R. Toloi,ATA,0.9,0.9,1.0,0.6,,,,,,,-0.2,0.0,-0.2,0.9,1.0,0.7,0.0,F,SA
R. Soriano,BOL,0.9,0.9,0.0,0.7,,,,,,,-0.5,0.0,-0.7,0.4,0.6,1.8,0.0,M,SA
A. Terzic,FIO,0.9,0.9,0.0,0.4,,,,,,,0.2,-1.0,0.1,1.1,0.8,0.9,0.0,F,SA
M. Brozovic,INT,0.9,0.6,1.0,0.6,,,,,,,0.2,1.0,0.2,0.4,1.1,0.0,3.6,M,SA
N. Milenkovic,FIO,0.8,0.9,0.0,0.7,,,,,,,-0.4,0.0,-0.2,1.7,0.6,0.4,-0.9,F,SA
M. Vecino,LAZ,0.8,0.8,1.0,0.7,,,,,,,0.2,1.0,0.2,1.1,0.9,0.4,0.0,M,SA
M. de Roon,ATA,0.8,0.8,0.0,0.4,,,,,,,0.0,0.0,-0.1,1.3,0.8,0.2,0.9,M,SA
N. Matic,ROM,0.8,0.9,0.0,0.4,,,,,,,-0.5,-1.0,-0.5,1.5,0.9,0.2,-1.8,M,SA
L. Caldirola,MON,0.8,0.8,2.0,0.6,,,,,,,0.6,2.0,0.5,1.5,0.6,0.4,-0.9,F,SA
L. Alberto,LAZ,0.8,0.8,2.0,0.9,,,,,,,0.4,2.0,0.5,0.9,0.8,0.7,0.0,M,SA
T. Arslan,UDI,0.8,0.8,0.0,0.5,,,,,,,-0.1,0.0,-0.1,1.3,0.6,0.4,0.0,M,SA
T. Baldanzi,EMP,0.7,0.8,0.0,0.8,,,,,,,-0.5,-1.0,-0.6,1.1,0.8,0.4,-0.9,A,SA
A. Barak,FIO,0.7,0.6,0.0,0.5,,,,,,,0.1,0.0,0.2,0.9,0.6,0.4,0.9,M,SA
I. Ilic,TOR,0.7,0.5,2.0,0.5,,,,,,,-0.4,1.0,-0.5,0.9,0.5,0.0,3.6,M,SA
D. Dumfries,INT,0.7,0.4,0.0,0.4,,,,,,,0.1,0.0,0.3,0.4,0.4,0.4,4.5,M,SA
D. Zappacosta,ATA,0.6,0.7,0.0,0.4,,,,,,,-0.5,0.0,-0.5,0.7,0.5,1.1,-0.9,F,SA
R. Saponara,FIO,0.6,0.7,1.0,0.8,,,,,,,-0.5,-1.0,-0.3,1.1,0.4,0.9,-0.9,M,SA
O. Abildgaard,VER,0.6,0.7,0.0,0.7,,,,,,,0.2,0.0,0.3,0.7,0.8,0.7,-0.9,M,SA
R. Karsdorp,ROM,0.6,0.7,0.0,0.4,,,,,,,0.6,0.0,0.4,1.1,0.5,0.7,-0.9,F,SA
N. Zortea,SAS,0.6,0.6,0.0,0.5,,,,,,,0.4,0.0,0.4,0.4,0.8,0.7,0.0,M,SA
L. Ferguson,BOL,0.6,0.6,1.0,0.3,,,,,,,-0.9,-2.0,-1.0,0.2,0.5,1.1,0.9,M,SA
J. Messias,ACM,0.6,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.2,0.0,0.0,9.9,M,SA
M. Cancellieri,LAZ,0.6,0.9,0.0,0.6,,,,,,,0.4,0.0,0.3,1.5,0.6,0.7,-4.5,M,SA
N. Zalewski,ROM,0.6,0.8,0.0,0.5,,,,,,,-0.4,0.0,-0.5,0.7,0.6,1.1,-2.7,A,SA
M. Demiral,ATA,0.6,0.6,0.0,0.3,,,,,,,-0.4,0.0,-0.4,0.9,0.5,0.4,0.0,F,SA
N. Gonzalez,FIO,0.6,0.6,0.0,0.5,,,,,,,-0.1,0.0,0.2,0.9,0.4,0.7,0.0,M,SA
G. Bonaventura,FIO,0.6,0.6,0.0,0.1,,,,,,,0.0,0.0,0.0,1.3,0.2,0.4,0.0,M,SA
K. Askildsen,LEC,0.6,0.6,2.0,0.6,,,,,,,0.0,0.0,0.0,0.4,0.8,0.4,0.0,M,SA
A. Cabral,FIO,0.6,0.5,0.0,0.4,,,,,,,0.1,0.0,0.3,0.9,0.4,0.2,1.8,A,SA
S. Amrabat,FIO,0.5,0.6,0.0,0.3,,,,,,,-0.1,0.0,-0.1,0.9,0.8,0.0,-0.9,M,SA
S. Umtiti,LEC,0.5,0.6,0.0,0.2,,,,,,,-0.3,-1.0,-0.1,1.1,0.2,0.7,-0.9,F,SA
M. Politano,NAP,0.5,0.6,0.0,0.4,,,,,,,-0.4,0.0,-0.2,0.9,0.5,0.4,-0.9,A,SA
C. Lykogiannis,BOL,0.5,0.5,0.0,0.2,,,,,,,-0.3,-1.0,-0.5,0.4,0.5,0.7,0.0,F,SA
A. Rabiot,JUV,0.5,0.5,0.0,0.3,,,,,,,0.0,0.0,0.1,1.3,0.1,0.4,0.0,M,SA
A. Ceesay,LEC,0.5,0.5,0.0,0.2,,,,,,,0.5,0.0,0.2,0.7,0.8,0.0,0.0,A,SA
T. Vilhena,SAL,0.5,0.5,1.0,0.3,,,,,,,0.2,0.0,0.2,0.7,0.2,0.9,0.0,M,SA
N. Perez,UDI,0.5,0.5,1.0,0.5,,,,,,,0.1,1.0,0.3,0.4,0.6,0.4,0.0,F,SA
A. Buongiorno,TOR,0.5,0.5,0.0,0.3,,,,,,,-0.9,-3.0,-0.7,0.0,0.6,0.7,0.9,F,SA
A. Tameze,VER,0.5,0.5,0.0,0.7,,,,,,,0.1,0.0,0.2,1.1,0.0,0.7,0.0,M,SA
G. Donati,MON,0.5,0.5,2.0,0.2,,,,,,,0.1,2.0,0.0,0.4,0.4,0.7,0.0,F,SA
G. Ochoa,SAL,0.5,0.4,0.0,0.3,,,,,,,-0.1,0.0,-0.2,0.2,0.4,0.7,0.9,G,SA
Z. Ibrahimovic,ACM,0.5,0.3,0.0,0.0,,,,,,,-0.2,0.0,0.0,1.1,0.0,0.0,2.7,A,SA
A. Blin,LEC,0.4,0.5,0.0,0.4,,,,,,,0.5,0.0,0.3,0.4,0.6,0.4,-1.8,M,SA
A. Marusic,LAZ,0.4,0.5,0.0,0.5,,,,,,,0.1,0.0,0.2,0.2,0.5,0.7,-0.9,F,SA
P. Rodriguez,LAZ,0.4,0.5,0.0,0.5,,,,,,,0.2,0.0,0.2,0.7,0.5,0.2,-0.9,A,SA
J. Bijol,UDI,0.4,0.5,0.0,0.4,,,,,,,-0.6,0.0,-0.8,1.1,0.2,0.2,-0.9,F,SA
V. Biagini,EMP,0.4,0.4,0.0,0.5,,,,,,,0.0,0.0,0.0,0.4,0.5,0.2,0.0,G,SA
R. Mandragora,FIO,0.4,0.4,1.0,0.5,,,,,,,0.2,1.0,0.3,0.4,0.5,0.2,0.0,M,SA
A. Cambiaso,BOL,0.4,0.4,1.0,0.4,,,,,,,-1.5,-5.0,-1.7,0.4,0.2,0.4,0.9,F,SA
B. Dragowski,SPE,0.4,0.4,0.0,0.3,,,,,,,0.0,0.0,0.1,0.4,0.2,0.4,0.9,G,SA
B. Dia,SAL,0.4,0.5,0.0,0.4,,,,,,,-0.2,0.0,-0.2,0.7,0.5,0.4,-2.7,A,SA
J. Zirkzee,BOL,0.4,0.4,0.0,0.3,,,,,,,-0.2,0.0,-0.1,0.2,0.2,0.9,-0.9,A,SA
D. Calabria,ACM,0.4,0.4,0.0,0.0,,,,,,,-0.2,0.0,-0.1,0.7,0.1,0.4,0.0,F,SA
C. De Ketelaere,ACM,0.4,0.4,0.0,0.1,,,,,,,0.1,0.0,0.0,0.2,0.2,0.7,0.0,M,SA
T. Martinelli,FIO,0.4,0.4,0.0,0.4,,,,,,,0.1,0.0,0.1,0.4,0.1,0.7,0.0,G,SA
C. Kouame,FIO,0.4,0.4,0.0,0.1,,,,,,,-0.1,0.0,-0.1,0.2,0.6,0.0,0.0,A,SA
N. Rovella,MON,0.4,0.4,0.0,0.1,,,,,,,-0.2,0.0,-0.3,0.4,0.2,0.4,0.0,M,SA
K. Amian,SPE,0.4,0.4,0.0,0.3,,,,,,,0.0,0.0,0.0,0.0,0.4,0.7,0.0,F,SA
D. Zima,TOR,0.4,0.4,0.0,0.2,,,,,,,0.0,0.0,-0.1,0.4,0.5,0.0,0.0,F,SA
G. Gineitis,TOR,0.4,0.4,0.0,0.3,,,,,,,-0.2,0.0,-0.3,0.2,0.5,0.2,0.0,M,SA
S. Lovric,UDI,0.4,0.4,1.0,0.4,,,,,,,0.2,1.0,0.4,0.0,0.5,0.4,0.0,M,SA
G. Medel,BOL,0.3,0.3,0.0,0.3,,,,,,,-0.1,0.0,-0.1,0.2,0.4,0.2,0.9,M,SA
A. Lauriente,SAS,0.3,0.3,0.0,0.0,,,,,,,-0.4,-1.0,-0.3,0.0,0.5,0.2,0.9,A,SA
F. Tomori,ACM,0.3,0.2,0.0,0.1,,,,,,,0.0,0.0,0.1,0.2,0.2,0.0,2.7,F,SA
G. Raspadori,NAP,0.3,0.4,0.0,0.1,,,,,,,0.0,0.0,0.0,0.9,0.2,0.2,-1.8,A,SA
E. Bove,ROM,0.3,0.4,0.0,0.4,,,,,,,-0.1,-1.0,-0.1,0.2,0.4,0.7,-1.8,M,SA
A. Belotti,ROM,0.3,0.4,0.0,0.2,,,,,,,0.1,0.0,0.1,0.4,0.4,0.4,-1.8,A,SA
J. Akpa Akpro,EMP,0.3,0.4,0.0,0.3,,,,,,,-0.5,0.0,-0.6,0.0,0.4,0.7,-0.9,M,SA
D. Coppola,VER,0.3,0.4,1.0,0.5,,,,,,,0.0,0.0,0.1,0.0,0.4,0.7,-0.9,F,SA
M. Locatelli,JUV,0.3,0.4,0.0,0.1,,,,,,,-0.4,0.0,-0.2,0.7,0.2,0.2,-0.9,M,SA
M. Sportiello,ATA,0.3,0.3,0.0,0.0,,,,,,,0.0,0.0,0.0,0.4,0.0,0.7,0.0,G,SA
M. Carnesecchi,CRE,0.3,0.3,0.0,0.3,,,,,,,-0.1,0.0,-0.2,0.0,0.1,0.9,0.0,G,SA
F. Afena-Gyan,CRE,0.3,0.3,0.0,0.2,,,,,,,-0.1,0.0,-0.1,0.2,0.5,0.0,0.0,A,SA
A. Bianco,FIO,0.3,0.3,0.0,0.0,,,,,,,0.0,0.0,-0.1,0.2,0.4,0.2,0.0,M,SA
A. Gaich,VER,0.3,0.3,1.0,0.5,,,,,,,0.0,0.0,0.0,0.0,0.5,0.2,0.0,A,SA
V. Gendrey,LEC,0.3,0.3,0.0,0.2,,,,,,,0.2,0.0,0.2,0.7,0.1,0.2,0.0,F,SA
J. Gonzalez,LEC,0.3,0.3,0.0,0.3,,,,,,,0.1,0.0,0.2,0.7,0.2,0.0,0.0,M,SA
G. Wijnaldum,ROM,0.3,0.3,0.0,0.3,,,,,,,0.1,0.0,0.1,0.4,0.2,0.2,0.0,M,SA
E. Tantalocchi,SAM,0.3,0.3,0.0,0.2,,,,,,,-0.1,0.0,0.0,1.1,0.0,0.0,0.0,G,SA
F. Marchetti,SPE,0.3,0.3,0.0,0.4,,,,,,,0.0,0.0,0.0,0.0,0.6,0.0,0.0,G,SA
E. Holm,SPE,0.3,0.3,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.2,0.7,0.0,F,SA
D. Verde,SPE,0.3,0.3,0.0,0.3,,,,,,,0.2,0.0,0.3,0.2,0.4,0.2,0.0,M,SA
K. Linetty,TOR,0.3,0.3,0.0,0.2,,,,,,,-0.4,-1.0,-0.7,0.0,0.4,0.4,0.0,M,SA
M. Aebischer,BOL,0.3,0.2,0.0,0.1,,,,,,,-0.1,0.0,-0.2,0.4,0.2,0.0,0.9,M,SA
K. Piatek,SAL,0.3,0.2,0.0,0.0,,,,,,,0.1,0.0,0.0,0.4,0.2,0.0,0.9,A,SA
E. Audero,SAM,0.3,0.2,0.0,0.2,,,,,,,-0.6,-1.0,-0.9,0.4,0.1,0.2,0.9,G,SA
P. Obiang Avomo,SAS,0.3,0.2,1.0,0.3,,,,,,,0.1,1.0,0.2,0.0,0.4,0.0,1.8,M,SA
S. de Vrij,INT,0.3,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.2,0.1,0.0,2.7,F,SA
M. Arnautovic,BOL,0.2,0.4,0.0,0.2,,,,,,,0.0,0.0,0.0,0.4,0.2,0.4,-1.8,A,SA
L. Ranieri,FIO,0.2,0.4,0.0,0.2,,,,,,,-0.2,0.0,-0.3,0.7,0.0,0.7,-1.8,F,SA
M. Skriniar,INT,0.2,0.3,0.0,0.1,,,,,,,0.0,0.0,0.0,0.2,0.4,0.2,-0.9,F,SA
J. Palomino,ATA,0.2,0.2,0.0,0.1,,,,,,,0.0,0.0,0.0,0.4,0.1,0.2,0.0,F,SA
M. Pasalic,ATA,0.2,0.2,0.0,0.0,,,,,,,0.0,0.0,0.0,0.2,0.1,0.4,0.0,M,SA
E. Valeri,CRE,0.2,0.2,0.0,0.1,,,,,,,0.0,0.0,0.0,0.2,0.2,0.2,0.0,F,SA
A. Ismajli,EMP,0.2,0.2,0.0,0.2,,,,,,,-0.2,0.0,-0.1,0.2,0.4,0.0,0.0,F,SA
F. Caputo,EMP,0.2,0.2,0.0,0.2,,,,,,,-0.1,0.0,-0.2,0.2,0.2,0.2,0.0,A,SA
L. Martinez Quarta,FIO,0.2,0.2,0.0,0.2,,,,,,,0.1,0.0,0.1,0.4,0.1,0.2,0.0,F,SA
K. Lasagna,VER,0.2,0.2,1.0,0.3,,,,,,,0.0,0.0,-0.1,0.0,0.4,0.2,0.0,A,SA
L. Paredes,JUV,0.2,0.2,0.0,0.1,,,,,,,0.2,0.0,0.1,0.2,0.4,0.0,0.0,M,SA
M. Lazzari,LAZ,0.2,0.2,0.0,0.1,,,,,,,0.0,0.0,0.1,0.4,0.1,0.2,0.0,F,SA
D. Bradaric,SAL,0.2,0.2,0.0,0.3,,,,,,,0.2,0.0,0.3,0.0,0.4,0.2,0.0,F,SA
B. Amione,SAM,0.2,0.2,0.0,0.4,,,,,,,-0.4,0.0,-0.2,0.0,0.2,0.4,0.0,F,SA
G. Zacchi,SAS,0.2,0.2,0.0,0.3,,,,,,,0.1,0.0,0.3,0.4,0.1,0.2,0.0,G,SA
M. Lopez,SAS,0.2,0.2,0.0,0.3,,,,,,,0.0,0.0,0.0,0.4,0.2,0.0,0.0,M,SA
J. Cuadrado,JUV,0.2,0.2,0.0,0.3,,,,,,,0.1,0.0,0.2,0.2,0.1,0.2,0.9,F,SA
J. Sambia,SAL,0.2,0.2,0.0,0.1,,,,,,,0.1,0.0,0.1,0.2,0.1,0.2,0.9,F,SA
Y. Karamoh,TOR,0.2,0.2,0.0,0.1,,,,,,,-0.1,0.0,0.0,0.2,0.2,0.0,0.9,A,SA
Walace,UDI,0.2,0.2,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.4,0.0,0.9,M,SA
R. Gosens,INT,0.2,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.4,1.8,F,SA
D. D'Ambrosio,INT,0.2,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.2,0.0,1.8,F,SA
K. Thorstvedt,SAS,0.2,0.1,1.0,0.1,,,,,,,0.1,1.0,0.1,0.0,0.2,0.0,1.8,M,SA
A. Milik,JUV,0.2,0.3,0.0,0.0,,,,,,,0.0,0.0,0.0,0.7,0.1,0.2,-1.8,A,SA
