player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
D. Lukebakio,BSC,1.6,1.6,0.0,1.3,,,,,,,0.5,0.0,1.0,0.9,0.8,3.4,0.9,A,BL
N. Giesselmann,UBL,1.6,1.4,0.0,1.4,,,,,,,-1.6,-2.0,-2.1,0.9,1.6,1.3,3.6,F,BL
N. Amiri,B04,1.6,1.2,2.0,1.4,,,,,,,0.7,1.0,0.7,1.6,1.3,0.9,6.3,M,BL
M. Thuram,BMG,1.6,2.2,0.0,1.4,,,,,,,0.2,-1.0,-0.2,1.3,2.8,1.7,-9.0,A,BL
L. Goretzka,BAY,1.6,1.6,2.0,1.1,,,,,,,-0.1,1.0,-0.1,1.3,1.8,1.5,0.0,M,BL
R. Doan,SCF,1.6,2.1,5.0,2.3,,,,,,,0.1,3.0,0.2,3.2,2.0,1.5,-8.1,M,BL
R. Zentner,M05,1.6,0.9,3.0,1.1,,,,,,,0.0,0.0,0.0,0.3,1.0,1.3,9.9,G,BL
H. Ito,VFB,1.5,1.6,2.0,1.4,,,,,,,0.8,1.0,0.8,0.9,1.6,2.1,-1.8,F,BL
A. Adli,B04,1.5,1.6,0.0,0.9,,,,,,,-3.7,-3.0,-3.6,1.6,1.4,1.9,-0.9,A,BL
F. Dahmen,M05,1.5,1.9,2.0,1.6,,,,,,,0.3,1.0,-0.1,1.3,1.9,2.3,-6.3,G,BL
A. Kramaric,HOF,1.5,1.6,2.0,1.5,,,,,,,-0.5,1.0,-0.4,2.2,1.1,1.9,-1.8,A,BL
M. Eggestein,SCF,1.5,1.5,0.0,1.6,,,,,,,-0.1,-3.0,-0.1,2.2,1.3,1.5,-0.9,M,BL
J. Hector,KOE,1.5,1.5,1.0,1.0,,,,,,,0.1,0.0,-0.1,2.2,1.5,0.9,0.0,F,BL
T. Bischof,HOF,1.4,1.6,0.0,1.3,,,,,,,-1.4,-1.0,-1.1,2.5,0.5,3.0,-3.6,M,BL
L. Tousart,BSC,1.4,1.5,5.0,1.9,,,,,,,1.0,5.0,1.3,1.3,1.1,2.1,-0.9,M,BL
A. Hack,M05,1.4,1.3,0.0,1.1,,,,,,,0.2,0.0,0.3,2.2,1.6,0.2,0.9,F,BL
P. Schick,B04,1.4,1.2,0.0,0.9,,,,,,,0.9,0.0,0.7,1.3,1.3,1.1,2.7,A,BL
M. Bakker,B04,1.3,1.3,1.0,0.8,,,,,,,-0.4,1.0,-0.4,1.3,1.1,1.7,0.0,F,BL
K. Adeyemi,BVB,1.3,1.3,0.0,0.9,,,,,,,-11.6,-18.0,-13.9,2.5,1.1,0.6,0.0,A,BL
K. Yeboah,FCA,1.3,1.2,1.0,1.2,,,,,,,0.1,-2.0,-0.3,0.6,1.0,1.9,0.9,A,BL
J. Omlin,BMG,1.2,1.5,0.0,1.6,,,,,,,0.1,0.0,0.0,2.8,1.3,1.1,-4.5,G,BL
C. Antwi-Adjei,BOC,1.2,0.9,1.0,0.5,,,,,,,-0.2,0.0,-0.2,0.9,1.4,0.0,5.4,M,BL
L. Bittencourt,WER,1.1,1.2,1.0,1.6,,,,,,,1.0,1.0,1.4,1.6,0.9,1.5,-0.9,M,BL
N. Nartey,VFB,1.1,1.1,0.0,0.9,,,,,,,-0.8,0.0,-0.7,3.8,0.8,0.0,0.0,M,BL
M. Pedersen,FCA,1.1,1.1,0.0,0.8,,,,,,,-0.1,-1.0,-0.5,1.9,0.9,0.9,0.9,F,BL
A. Engels,FCA,1.1,1.3,1.0,1.4,,,,,,,-0.1,0.0,-0.1,1.9,0.6,1.9,-2.7,M,BL
P. Lienhart,SCF,1.1,1.2,1.0,1.5,,,,,,,0.1,-1.0,0.3,1.9,1.4,0.4,-1.8,F,BL
P. Max,FFM,1.1,1.1,1.0,1.2,,,,,,,-0.3,0.0,-0.4,0.9,0.9,1.5,0.0,F,BL
U. Tohumcu,HOF,1.1,1.0,1.0,1.0,,,,,,,-1.2,-1.0,-1.0,0.0,0.8,2.1,0.9,M,BL
K. Paredes,WOB,1.1,0.9,1.0,1.2,,,,,,,-0.8,0.0,-0.8,1.6,1.1,0.2,1.8,M,BL
M. Arnold,WOB,1.1,0.9,0.0,1.2,,,,,,,-0.2,0.0,0.3,0.9,1.3,0.2,2.7,M,BL
S. Kozuki,S04,1.0,1.1,0.0,0.9,,,,,,,-3.2,-5.0,-2.8,0.0,1.6,1.1,-1.8,M,BL
W. Endo,VFB,1.0,1.1,1.0,0.9,,,,,,,0.4,1.0,0.2,1.3,0.9,1.5,-1.8,M,BL
N. Süle,BVB,1.0,1.0,4.0,1.3,,,,,,,0.1,1.0,0.1,0.6,1.3,0.9,0.0,F,BL
E. Palacios,B04,1.0,1.0,1.0,0.7,,,,,,,-0.7,0.0,-0.7,0.9,1.1,0.9,0.0,M,BL
X. Schlager,RBL,1.0,1.0,0.0,1.3,,,,,,,0.1,0.0,0.3,1.6,1.0,0.6,0.0,M,BL
M. Hummels,BVB,1.0,0.9,1.0,0.8,,,,,,,0.2,1.0,0.1,1.9,0.8,0.4,1.8,F,BL
D. Sinkgraven,B04,1.0,1.0,0.0,1.0,,,,,,,-0.6,-1.0,-0.5,0.3,0.4,2.6,-0.9,F,BL
A. Pieper,WER,0.9,0.9,1.0,1.3,,,,,,,0.0,0.0,0.0,0.3,0.9,1.3,0.9,F,BL
K. Boateng,BSC,0.9,1.3,0.0,1.1,,,,,,,0.4,0.0,0.6,0.9,1.4,1.3,-5.4,M,BL
E. Demirovic,FCA,0.9,0.9,0.0,0.7,,,,,,,-0.1,0.0,-0.3,0.9,0.6,1.5,-0.9,A,BL
A. Barkok,M05,0.9,0.9,0.0,1.0,,,,,,,0.0,0.0,0.0,0.6,1.1,0.9,-0.9,M,BL
F. Neuhaus,BMG,0.9,0.9,0.0,0.7,,,,,,,-0.1,0.0,-0.1,1.6,0.6,1.1,-0.9,M,BL
S. Guirassy,VFB,0.9,0.9,0.0,0.5,,,,,,,-0.1,0.0,-0.4,0.6,1.0,1.1,-0.9,A,BL
J. Juranovic,UBL,0.9,0.7,0.0,0.5,,,,,,,-0.7,-2.0,-1.2,2.2,0.3,0.4,2.7,F,BL
E. Masovic,BOC,0.9,0.6,0.0,0.6,,,,,,,0.3,0.0,0.3,0.9,0.4,0.6,4.5,F,BL
J. Roussillon,UBL,0.8,1.0,0.0,0.9,,,,,,,-0.4,-1.0,-0.8,1.6,1.3,0.2,-2.7,F,BL
D. Huseinbasic,KOE,0.8,0.9,0.0,0.9,,,,,,,-0.5,-1.0,-0.3,0.6,1.5,0.0,-0.9,M,BL
S. Serdar,BSC,0.8,0.8,0.0,0.7,,,,,,,-0.4,0.0,-0.4,1.9,0.8,0.2,0.0,M,BL
E. Millot,VFB,0.8,1.3,0.0,1.2,,,,,,,0.3,0.0,0.2,3.2,1.0,0.4,-7.2,M,BL
J. Pefok Siebatcheu,UBL,0.8,0.8,0.0,0.5,,,,,,,-0.9,-1.0,-1.3,0.9,0.9,0.4,0.0,A,BL
E. Fernandes,M05,0.7,0.6,2.0,0.7,,,,,,,0.3,2.0,0.5,1.6,0.6,0.0,1.8,M,BL
D. Olmo,RBL,0.7,1.0,1.0,0.7,,,,,,,-0.3,0.0,-0.3,1.6,1.0,0.6,-4.5,M,BL
A. Karazor,VFB,0.7,1.0,0.0,1.2,,,,,,,0.5,-1.0,0.8,0.0,1.1,1.5,-4.5,F,BL
W. Kanga,BSC,0.7,0.9,0.0,0.7,,,,,,,-0.1,0.0,0.0,0.6,1.3,0.6,-3.6,A,BL
M. Can Aydin,S04,0.7,0.8,0.0,0.6,,,,,,,0.0,0.0,0.0,0.3,1.0,0.6,-0.9,F,BL
G. Haraguchi,VFB,0.7,0.8,0.0,0.7,,,,,,,0.1,-1.0,-0.1,0.9,0.6,0.9,-0.9,M,BL
N. Elvedi,BMG,0.7,0.7,0.0,0.6,,,,,,,0.1,0.0,0.0,0.9,0.8,0.4,0.0,F,BL
M. Halstenberg,RBL,0.7,0.7,0.0,0.3,,,,,,,0.1,0.0,0.0,0.9,0.5,0.9,0.0,F,BL
I. Gruev,WER,0.7,0.7,0.0,0.7,,,,,,,0.6,0.0,0.7,0.3,0.6,1.1,0.0,M,BL
M. Frey,S04,0.7,0.6,0.0,0.5,,,,,,,0.4,0.0,0.3,0.3,0.8,0.6,0.9,A,BL
S. Widmer,M05,0.7,0.6,0.0,0.3,,,,,,,0.3,0.0,0.1,0.3,0.6,0.6,1.8,F,BL
M. Dardai,BSC,0.7,0.8,2.0,0.8,,,,,,,0.8,2.0,0.8,1.3,0.3,1.5,-2.7,F,BL
A. Laidouni,UBL,0.7,0.3,1.0,0.2,,,,,,,-0.1,-1.0,-0.3,0.3,0.4,0.0,6.3,M,BL
D. Colina,FCA,0.6,0.6,0.0,0.6,,,,,,,-0.5,0.0,-0.4,1.3,0.8,0.0,0.0,F,BL
D. Leite,UBL,0.6,0.6,0.0,0.5,,,,,,,-1.2,-4.0,-1.5,0.3,1.0,0.0,0.9,F,BL
T. Hubers,KOE,0.6,0.5,0.0,0.4,,,,,,,0.4,0.0,0.3,0.3,0.8,0.2,1.8,F,BL
S. Katompa Mvumpa,VFB,0.6,0.7,0.0,0.3,,,,,,,0.0,0.0,0.0,0.6,0.4,1.3,-1.8,A,BL
C. Günter,SCF,0.6,0.6,0.0,0.8,,,,,,,-1.6,-4.0,-1.9,0.3,0.9,0.4,-0.9,F,BL
R. Sallai,SCF,0.6,0.6,2.0,0.6,,,,,,,-0.4,0.0,-0.5,0.3,0.5,0.9,0.0,M,BL
M. Wolf,BVB,0.6,0.4,2.0,0.5,,,,,,,0.3,1.0,0.3,0.3,0.8,0.0,1.8,M,BL
